P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
6,AMRUTRAS KOKAM SYRUP 1 LT,JAM/KETCH-UP/SARBAT,AMRUTRAS,SYRUP/CRUSH,,
12,R.K.B DRY ABCD MIX 200 GM,PAPAD/PICKLES/FRYMES,R.K.BAZAR(TAX),FRYMES,,
13,RK MUKHWAS MINT FENNEL 100GM,CHOCLATE/CONFECTIONRIES,RK MUKHWAS,MUKHWAS,,
15,RK MUK VARYALI PEPPER 100 GM,CHOCLATE/CONFECTIONRIES,RK MUKHWAS,MUKHWAS,,
33,KNORR HOT & SOUR VEG 43GM+,FAST FOOD (RADY TO EAT),KNORR,SOUP,,
48,RADHEY MURMURA 200 GM,GROCERY,R.K.BAZAR(TAX),BREAKFAST,,
52,NESTLE KOKO CRUNCH 20GM,BABY/HEALTH-FOOD/DRINKS,NESTLE,CORNFLAKES,,
75,ALA LIQUID 500 ML+,WASHING/DETERGENTS,ALA,LIQUID WASHING DETERGENT,,
78,WOODEN SPOON 10 PC,MISC/OTHERS,DISPOSAL PRODUCTS,PLATE,,
83,HARPIC POWER PLUS LQ ORI500,CLEANING MATERIAL,HARPIC,TOILET CLEANER,,
97,JADA POHA LOOSE (BULK),GROCERY,BREAKFAST,R.K.BAZAR,,
98,BAYGON CIK 200 ML,INSECTICIDES/REPELLANT,BAYGON,INSECTICIDES,,
108,KLINOL ECO FLORAL FRESH 1LT,CLEANING MATERIAL,KLINOL,PHENYLE,,
114,RK MUKHWAS GEMS 100GM,CHOCLATE/CONFECTIONRIES,RK MUKHWAS,MUKHWAS,,
122,MTR LABAN JELLY 22GM,CHOCLATE/CONFECTIONRIES,MTR,CHOCLATES,,
132,DYNAMIX COWS GHEE 500M RFL,OIL/GHEE/VANASPATI,DYNAMIX,GHEE,,
133,KHATNIL FOR ALL INSECTS 500ML,INSECTICIDES/REPELLANT,KHATNIL,INSECTICIDES,,
137,DETTOL ORI POW TO LIQ H/W BTL,BATH SOAPS,DETTOL,HAND WASH,,
149,CAD SILK HEART BLUSH 250 G,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
150,AMUL PRO CHOCLATE 500 GM,BABY/HEALTH-FOOD/DRINKS,AMUL,HEALTH DRINKS,,
152,SUNLIGHT BAR 128 GM+,WASHING/DETERGENTS,SUNLIGHT,WASHING SOAP,,
156,VIM DISH BAR 145 GM+,CLEANING MATERIAL,VIM,DISH WASH BAR,,
157,RK MUKHWAS TILL ALSI 100GM,CHOCLATE/CONFECTIONRIES,RK MUKHWAS,MUKHWAS,,
163,KHATNIL 250 M,INSECTICIDES/REPELLANT,KHATNIL,INSECTICIDES,,
172,VIM DISH BAR 300 GM+,CLEANING MATERIAL,VIM,DISH WASH BAR,,
182,LAXMAN REKHA,INSECTICIDES/REPELLANT,LAXMAN REKHA,INSECTICIDES,,
194,RIBB & BAL FRUIT B CAKE 135GM,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
195,RIBB & BAL FRU MUFF CAKE 135G,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
196,RIBB & BAL CHO MUFF CAKE 135G,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
198,RIB & BAL MAWA MUFF CAKE 135G,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
201,RIB & BAL MIX F SLICE CAKE 50,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
203,KIWI KLEEN DRAIN CLE 50 GM,CLEANING MATERIAL,KIWI,CLEANING POWDER,,
204,RIB & BAL CHOC SLICE CAKE 50G,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
207,RIB & BAL WINNY GS VANILA 25G,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
208,RIB & BAL WINNY CHOCO  25G,BISCUITS/BAKERY,RIBBONS AND BALLOONS,CAKES,,
215,RK DRY COLOUR NALI 200 GM,PAPAD/PICKLES/FRYMES,R.K.BAZAR(TAX),FRYMES,,
217,PONDS DREAMFLOWER TALC 400GM,TALCUM/DEO/PERFUME,PONDS,TALC POWDER,,
233,RAMBANDHU AAM CHUNDO PIC 200G,PAPAD/PICKLES/FRYMES,RAM BANDHU,PICKLE,,
234,COLGATE TOOTH POW 100GM (T),DENTAL CARE,COLGATE,TOOTH POWDER,,
245,R.K.SABUDANA 500 GM,FASTING/UPWAS,R.K.BAZAR(TAX),SABUDANA,,
251,NESTLE MUNCH POUCH 187.2GM,CHOCLATE/CONFECTIONRIES,NESTLE,CHOCLATES,,
256,CADBURY CELEBRATION 130 GM*,CHOCLATE/CONFECTIONRIES,CADBURY,CHOCLATES,,
279,APPY FIZZ 125 ML BTL,COLD/FRUIT DRINKS,APPY,SOFT DRINKS,,
287,MAGGI ATTA NOODLES 435 GM,FAST FOOD (RADY TO EAT),MAGGI,NOODLES,,
289,RK MUKHWAS SWEET AVLA 100GM,CHOCLATE/CONFECTIONRIES,RK MUKHWAS,MUKHWAS,,
296,GODREJ SH. CREAM MENTHOL 78GM,SHAVING PRODUCTS,GODREJ (CONSUMERS PRODUCT ),SHAVING CREAM,,
314,SUNPURE SUN OIL 5 LT CAN,OIL/GHEE/VANASPATI,SUNPURE,SUNFLOWER OIL,,
315,RKS NAKSHATRA CITRUS F/C 500M,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
329,RKS NAKS LIME MILKY F/C 1 LTR,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
331,RKS NAKS PINE MILKY F/C 1 LT,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
335,RKS NAKSHATRA ROSE F/C 500ML,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
339,GALA DECK MOP,CLEANING MATERIAL,GALA,MOP,,
344,RKS NAKSH MULT SURF F/C 500ML,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
348,RKS NAKSHATRA TOILET CL 500ML,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
352,RKS NAKSHATRA BATH RM CL 500M,CLEANING MATERIAL,RK NAKSHTRA,PHENYLE,,
356,MIRCHI LAVANGI 250GM,SPICES/MASALA,R.K.BAZAR(TAX),MASALE,,
362,PONDS SAND RADIANC TALC 100G,TALCUM/DEO/PERFUME,PONDS,TALC POWDER,,
374,RK MUKHWAS BAMBAIYA 100GM,CHOCLATE/CONFECTIONRIES,RK MUKHWAS,MUKHWAS,,
376,AMUL PRO. CHEESE 200 GM CBD,DAIRY/FROZEN,AMUL,CHEESE,,
379,MESWAK T PASTE 200 GM CBD,DENTAL CARE,DABUR,TOOTH PASTE,,
380,VICCO T. PASTE 100 GM CBD,DENTAL CARE,VICCO,TOOTH PASTE,,
389,COLGATE T PASTE 200GM CBD ,DENTAL CARE,COLGATE,TOOTH PASTE,,
391,COLGATE T PASTE 100 GM CBD,DENTAL CARE,COLGATE,TOOTH PASTE,,
424,LASER REGULAR SHAVI FOAM 400M,SHAVING PRODUCTS,LASER,SHAVING CREAM,,
