Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
rk-mukhwas-mint-fennel-100gm-1-s3,RK MUKHWAS MINT FENNEL 100GM || S3,Title,Default Title,,,,,13,,,3- 400612 RKDA - Diva,0,0,0,1,1
knorr-classic-hot-sour-vegetable-soup-43-g-2,KNORR CLASSIC HOT & SOUR VEGETABLE SOUP 43 G || S2,Title,Default Title,,,,,33,,,2 RKBB 421503 Badlapur Belavali,0,0,0,3,3
knorr-classic-hot-sour-vegetable-soup-43-g-3,KNORR CLASSIC HOT & SOUR VEGETABLE SOUP 43 G || S3,Title,Default Title,,,,,33,,,3- 400612 RKDA - Diva,0,0,0,13,13
radhey-murmura-200-gm-1-s2,RADHEY MURMURA 200 GM || S2,Title,Default Title,,,,,48,,,2 RKBB 421503 Badlapur Belavali,0,0,0,62,62
radhey-murmura-200-gm-1-s3,RADHEY MURMURA 200 GM || S3,Title,Default Title,,,,,48,,,3- 400612 RKDA - Diva,0,0,0,52,52
harpic-powerplus-disinfectant-toilet-cleaner-original-500-ml-1,HARPIC POWER PLUS DISINFECTANT TOILET CLEANER ORIGINAL - 500 ML || S3,Title,Default Title,,,,,83,,,3- 400612 RKDA - Diva,0,0,0,29,29
harpic-powerplus-disinfectant-toilet-cleaner-original-500-ml-3,HARPIC POWER PLUS DISINFECTANT TOILET CLEANER ORIGINAL - 500 ML || S1,Title,Default Title,,,,,83,,,1 Dombivli East (RKM),0,0,0,14,14
jada-poha-loose-bulk-2,RK JADA POHA LOOSE (BULK) 1 KG || S2,Title,Default Title,,,,,97,,,2 RKBB 421503 Badlapur Belavali,0,0,0,71,71
jada-poha-loose-bulk-3,RK JADA POHA LOOSE (BULK) 1KG || S3,Title,Default Title,,,,,97,,,3- 400612 RKDA - Diva,0,0,0,26,26
jada-poha-loose-bulk-1,RK JADA POHA LOOSE (BULK) 1 KG || S1,Title,Default Title,,,,,97,,,1 Dombivli East (RKM),0,0,0,40,40
baygon-cockroach-killer-spray-200-ml-1,BAYGON COCKROACH KILLER SPRAY 200 ML || S1,Title,Default Title,,,,,98,,,1 Dombivli East (RKM),0,0,0,1,1
floor-cleaners-1,KLI-NOL ECO FLORAL FRESH 1 LTR || S3,Title,Default Title,,,,,108,,,3- 400612 RKDA - Diva,0,0,0,10,10
rk-mukhwas-gems-100gm-1-s2,RK MUKHWAS GEMS 100GM || S2,Title,Default Title,,,,,114,,,2 RKBB 421503 Badlapur Belavali,0,0,0,13,13
rk-mukhwas-gems-100gm-1-s3,RK MUKHWAS GEMS 100GM || S3,Title,Default Title,,,,,114,,,3- 400612 RKDA - Diva,0,0,0,5,5
dynamix-cows-ghee-500m-rfl-2,DYNAMIX COWS GHEE 500M RFL || S2,Title,Default Title,,,,,132,,,2 RKBB 421503 Badlapur Belavali,0,0,0,1,1
sunlight-detergent-bar-128-g-2,SUNLIGHT DETERGENT BAR 128 G || S2,Title,Default Title,,,,,152,,,2 RKBB 421503 Badlapur Belavali,0,0,0,49,49
sunlight-detergent-bar-128-g-3,SUNLIGHT DETERGENT BAR 128 G || S3,Title,Default Title,,,,,152,,,3- 400612 RKDA - Diva,0,0,0,12,12
dish-wash-bar-1,VIM DISHWASH BAR 130 G || S2,Title,Default Title,,,,,156,,,2 RKBB 421503 Badlapur Belavali,0,0,0,489,489
dish-wash-bar-2,VIM DISHWASH BAR 130 G || S2,Title,Default Title,,,,,156,,,2 RKBB 421503 Badlapur Belavali,0,0,0,489,489
dish-wash-bar-3,VIM DISHWASH BAR 130 G || S1,Title,Default Title,,,,,156,,,1 Dombivli East (RKM),0,0,0,253,253
rk-mukhwas-till-alsi-100gm-1-s2,RK MUKHWAS TILL ALSI 100GM || S2,Title,Default Title,,,,,157,,,2 RKBB 421503 Badlapur Belavali,0,0,0,8,8
vim-dishwash-bar-lemon-300-g-2,VIM DISHWASH BAR LEMON 300 G || S2,Title,Default Title,,,,,172,,,2 RKBB 421503 Badlapur Belavali,0,0,0,102,102
muffins-2,RIBBONS & BALLOONS FRUIT MUFFINS 135 G || S2,Title,Default Title,,,,,195,,,2 RKBB 421503 Badlapur Belavali,0,0,0,1,1
ribbons-balloons-mawa-muffins-135-gm-2,RIBBONS & BALLOONS MAWA MUFFINS 135 G || S2,Title,Default Title,,,,,198,,,2 RKBB 421503 Badlapur Belavali,0,0,0,8,8
kiwi-dranex-drain-cleaner-50-g-pouch-1,KIWI DRANEX DRAIN CLEANER 50 G POUCH || S1,Title,Default Title,,,,,203,,,1 Dombivli East (RKM),0,0,0,1,1
ribbons-balloons-chocolate-slice-cake-50-g-2,RIBBONS & BALLOONS CHOCOLATE SLICE CAKE 50 G || S2,Title,Default Title,,,,,204,,,2 RKBB 421503 Badlapur Belavali,0,0,0,20,20
ribbons-balloons-winny-golden-sponge-vanilla-25-g-2,RIBBONS & BALLOONS WINNY GOLDEN SPONGE - VANILLA 25 G || S2,Title,Default Title,,,,,207,,,2 RKBB 421503 Badlapur Belavali,0,0,0,27,27
ribbons-balloons-winny-golden-sponge-vanilla-25-g-3,RIBBONS & BALLOONS WINNY GOLDEN SPONGE - VANILLA 25 G || S3,Title,Default Title,,,,,207,,,3- 400612 RKDA - Diva,0,0,0,3,3
ribbons-balloons-winny-golden-sponge-vanilla-25-g-1,RIBBONS & BALLOONS WINNY GOLDEN SPONGE - VANILLA 25 G || S1,Title,Default Title,,,,,207,,,1 Dombivli East (RKM),0,0,2,31,31
ribbons-balloons-winny-choco-sponge-25-g-3,RIBBONS & BALLOONS WINNY CHOCO SPONGE 25 G || S3,Title,Default Title,,,,,208,,,3- 400612 RKDA - Diva,0,0,0,49,49
ribbons-balloons-winny-choco-sponge-25-g-1,RIBBONS & BALLOONS WINNY CHOCO SPONGE 25 G || S1,Title,Default Title,,,,,208,,,1 Dombivli East (RKM),0,0,2,6,6
rk-dry-colour-nali-200-gm-1,RK DRY COLOUR NALI 200 GM || S1,Title,Default Title,,,,,215,,,1 Dombivli East (RKM),0,0,0,11,11
r-k-sabudana-500-gm-2,R.K.SABUDANA 500 G || S2,Title,Default Title,,,,,245,,,2 RKBB 421503 Badlapur Belavali,0,0,0,60,60
r-k-sabudana-500-gm-1,R.K.SABUDANA 500 G || S3,Title,Default Title,,,,,245,,,3- 400612 RKDA - Diva,0,0,0,66,66
r-k-sabudana-500-gm-3,R.K.SABUDANA 500 G || S1,Title,Default Title,,,,,245,,,1 Dombivli East (RKM),0,0,0,59,59
treats-1,NESTLE MUNCH 187 G || S3,Title,Default Title,,,,,251,,,3- 400612 RKDA - Diva,0,0,0,3,3
treats-3,NESTLE MUNCH 187 G || S1,Title,Default Title,,,,,251,,,1 Dombivli East (RKM),0,0,0,17,17
appy-fizz-125-ml-btl-1,APPY FIZZ 125 ML BTL || S1,Title,Default Title,,,,,279,,,1 Dombivli East (RKM),0,0,0,30,30
maggi-atta-noodles-435-gm-2,MAGGI ATTA NOODLES 435 GM || S2,Title,Default Title,,,,,287,,,2 RKBB 421503 Badlapur Belavali,0,0,0,10,10
maggi-atta-noodles-435-gm-1,MAGGI ATTA NOODLES 435 GM || S1,Title,Default Title,,,,,287,,,1 Dombivli East (RKM),0,0,0,23,23
