BR_CODE,P_CODE,P_NAME,BAL_QTY,MRP,NET_SALE_RATE,GEN_DATE
RKBS,60655,101 COZY PANTY PR 2PC (85),2,149,119.2,24-Sep-23
RKBS,62050,2 IN 1 SILICON SPATULA,14,69,54.1,24-Sep-23
RKBS,60391,3D REFLECTION FANCY DIWA,5,129,126.42,24-Sep-23
RKBS,1485,4 PCS NAIL POLISH SET,7,99,49.5,24-Sep-23
RKBS,52810,7104 GIRLS TOP 16X20,20,119,87.2,24-Sep-23
RKBS,35865,AADHAR REF SUNFLOWER OIL 1LTR,46,133,105,24-Sep-23
RKBS,7701,AAKASH GARLIC MIXTURE 800 GM,3,260,130,24-Sep-23
RKBS,11508,AASHIRWAAD ATTA 10 KG (MP),7,494,475,24-Sep-23
RKBS,3891,AASHIRWAAD ATTA 5 KG (MP),11,258,253,24-Sep-23
RKBS,38753,ACLIN METAL CLEANER POW 200G,394,35,17.5,24-Sep-23
RKBS,1387,ACT II  BARBEQUE P/CORN 50GM,4,15,14.85,24-Sep-23
RKBS,1388,ACT II CHEES & CR P/CORN 50GM,26,15,14.85,24-Sep-23
RKBS,8069,ACT II INST CHIL P/CORN 60 GM,26,10,9.9,24-Sep-23
RKBS,12379,ACT II INST CLAS P/CORN 150GM,14,36,35.64,24-Sep-23
RKBS,1429,ACT II INST CLAS P/CORN 60 GM,38,10,9.9,24-Sep-23
RKBS,30830,ACT II INST GLDN P/CORN 100GM,11,36,35.64,24-Sep-23
RKBS,1426,ACT II INST GLDN P/CORN 60 GM,18,10,9.9,24-Sep-23
RKBS,45392,ACT II MAGIC BUT P/CORN 30 G,29,10,9.9,24-Sep-23
RKBS,47504,ACT-II CHEESE BAKES&HERBS 55G,20,40,39.6,24-Sep-23
RKBS,30444,AJI-N-MOTTO 50 GM,6,19,19,24-Sep-23
RKBS,28482,AKKA AKROD 200 GM,8,178,178,24-Sep-23
RKBS,7103,AKKA DHANIYA 100GM,24,31,31,24-Sep-23
RKBS,3713,AKKA DHANIYA 200 GM,17,56,56,24-Sep-23
RKBS,34839,AKKA HALKUND 100 GM,10,38,38,24-Sep-23
RKBS,5378,AKKA HALKUND 500 GM,2,140,108,24-Sep-23
RKBS,1791,AKKA MASOOR 1 KG,10,107,100,24-Sep-23
RKBS,4021,AKKA MASOOR 250 GM,30,32,32,24-Sep-23
RKBS,2298,AKKA MASOOR 500 GM,18,64,58,24-Sep-23
RKBS,2318,AKKA RAJGGERA 100 GM (N.W.),15,20,20,24-Sep-23
RKBS,4116,AKKA UDAD BLACK 250 GM,13,42,42,24-Sep-23
RKBS,34656,AKKA UDAD WHITE 250 GM,7,48,48,24-Sep-23
RKBS,28251,AKROD MAGAJ 100 GM (C),15,196,175,24-Sep-23
RKBS,25761,AKROD MAGAJ 50 GM (C),9,108,98,24-Sep-23
RKBS,7485,ALA  LIQUID  200 ML+,48,44,43.56,24-Sep-23
RKBS,75,ALA LIQUID 500 ML+,20,89,88.11,24-Sep-23
RKBS,59034,ALIFE LEMON H/W 200 ML (BTL),39,79,26,24-Sep-23
RKBS,9647,ALL IN ONE POOJA KIT,1,599,199,24-Sep-23
RKBS,38130,ALL OUT ADJUSTABLE COMBI PACK,12,100,99,24-Sep-23
RKBS,1002,ALO FRUT ALO+MANGO JUICE 1LT,113,120,60,24-Sep-23
RKBS,2080,ALSI 200 GM,21,26,26,24-Sep-23
RKBS,4325,ALSI 500 GM,9,65,65,24-Sep-23
RKBS,45491,AMBI PUR CAR REFFILE CITRUS 7,2,199,197.01,24-Sep-23
RKBS,44024,AMBI PUR CAR REFFILE ST LAV 7,3,299,249,24-Sep-23
RKBS,26503,AMBI PUR LAVANDER BQ HOM/GEL,4,299,249,24-Sep-23
RKBS,26502,AMBI PUR LOVES BQT H/GEL 180G,10,299,249,24-Sep-23
RKBS,43940,AMBI PURE FLORAL ESC AER 300M,1,279,229,24-Sep-23
RKBS,51942,AMBIPUR CAR REFFILE JASM 7.5M,1,199,197.01,24-Sep-23
RKBS,51690,AMBIPUR CAR REFFILE LAV 7.5ML,4,199,189,24-Sep-23
RKBS,50152,AMBIPUR LAVENDER BOUQUT 275GM,4,299,249,24-Sep-23
RKBS,60463,AMBIPURE CAR GEL LAVENDER 75G,2,299,249,24-Sep-23
RKBS,60464,AMBIPURE CAR GEL LEMON 75G,5,299,249,24-Sep-23
RKBS,60465,AMBIPURE CAR GEL ROSE 75GM,4,299,249,24-Sep-23
RKBS,50149,AMBIPURE EXOTIC JASMIN 275GM,3,299,249,24-Sep-23
RKBS,50148,AMBIPURE ROSE&BLOSSM 275GM,4,299,249,24-Sep-23
RKBS,43920,AMBIPURE SANDL AIR SPREY 275M,4,299,249,24-Sep-23
RKBS,10436,AMUL AUSAR KAJU KATRI 200 GM,10,190,188.1,24-Sep-23
RKBS,54651,AMUL BADSHAHI  KULFI ICE CR,2,25,22.5,24-Sep-23
RKBS,3773,AMUL BUTT SCOTCH ICE CUP 100M,1,20,18,24-Sep-23
RKBS,2507,AMUL BUTTER 100 GM CBD*,168,56,55.44,24-Sep-23
RKBS,2504,AMUL BUTTER 500 GM CBD*,25,275,265,24-Sep-23
RKBS,61822,AMUL CHOCLATE CUP ICE CR 100M,6,25,22.5,24-Sep-23
RKBS,33074,AMUL CHOCOMINIS 250 GM,15,140,135,24-Sep-23
RKBS,43038,AMUL COW GHEE 1 LT (R),15,650,640,24-Sep-23
RKBS,8470,AMUL ELACHI SHRI 200 GM,1,52,51.48,24-Sep-23
